type_transaction,prix_location,prix_vente,description,localisation,commune,ville,marque,modele,annee
Location,745277,15000000,peugeot 2008 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,2008,2023
Location,1055577,21800000,peugeot 3008 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,3008,2023
Location,558184,10900000,renault koleos 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Koleos,2021
Location,1657925,35000000,bmw x3 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X3,2023
Vente,0,14700000,toyota land cruiser 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2013
Vente,0,4000000,peugeot 308 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,308,2010
Location,813726,16500000,hyundai santa fe 2020,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2020
Location,462356,8800000,renault duster 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Renault,Duster,2020
Location,768093,15500000,kia sorento 2020,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Kia,Sorento,2020
Location,904990,18500000,mazda cx-5 2022,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2022
Location,1566660,33000000,mercedes-benz glc 300 2021,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2021
Vente,0,4200000,honda civic 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Civic,2008
Vente,0,11800000,hyundai santa fe xl awd 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Santa fe xl awd,2018
Vente,0,12500000,hyundai tucson 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Tucson,2017
Vente,0,3300000,mazda 6 2001,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2001
Vente,0,13800000,toyota rav4 2018 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Rav4,2018
Vente,0,2800000,toyota yaris 2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Yaris,2012
Location,676828,13500000,ac haval h6 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Haval,Haval h6,2024
Location,151599,1990000,kia sportage 4x 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Sportage 4x,2024
Location,781783,15800000,kia sportage 2021,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Sportage,2021
Vente,0,6850000,mercedes-benz e 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2010
Vente,0,37000000,bmw x5 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,Bmw x5,2019
Location,1146842,23800000,toyota fortuner 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Fortuner,2021
Location,1384131,29000000,audi q5 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Audi,Q5,2021
Location,5445415,118000000,mercedes benz gle 63s 2022,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2022
Vente,0,9500000, bmw x3 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,Bmw,2013
Location,644886,12800000,kia stonic 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Stonic,2020
Vente,0,15700000,mercedes-benz glc 250 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,0,10800000,mazda cx-3 2018 ,"Abidjan, Côte d'Ivoire",,Abidjan,Mazda,Mazda,2018
Location,1087520,22500000,hyundai santa cruz 2022,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Santa cruz,2022
Location,649449,12900000,hyundai kona 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Kona,2020
Location,1521028,32000000,mitsubishi montero 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Montero,2024
Vente,0,4700000,kia picanto 2013,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Kia,Picanto,2013
